,bbch_13,bbch_14,bbch_15,bbch_16,bbch_17,bbch_19,bbch_20,bbch_21,bbch_22,bbch_23,bbch_27,bbch_28,bbch_29,bbch_51,bbch_52,bbch_53,bbch_54,bbch_55,bbch_56,bbch_59,bbch_60,bbch_61,bbch_62,bbch_63,bbch_64,bbch_65,bbch_66,bbch_67,bbch_68,bbch_69,bbch_70,bbch_71,bbch_72,bbch_73,bbch_74,bbch_75,bbch_76,bbch_77,bbch_78,bbch_79,bbch_80,bbch_81,bbch_82,bbch_83,bbch_84,bbch_85,bbch_86,bbch_87,bbch_88,bbch_89
bbch_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,202,35,6,2,0,1,0,0,0,0,0,0,0
bbch_78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,20,272,27,5,0,0,0,0,0,0,0,0,0
bbch_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,40,416,17,4,6,1,0,1,0,0,0,1
bbch_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,16,111,2,4,0,1,0,0,0,0,0
bbch_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,128,5,2,4,2,0,0,0,1
bbch_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,109,6,5,1,0,0,0,0
bbch_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,5,94,5,0,1,4,0,0
bbch_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,72,7,1,2,0,1
bbch_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,79,3,0,1,1
bbch_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,38,0,1,3
bbch_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,36,0,2
bbch_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,33,0
bbch_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,52
