epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,17752.3,0.58908,0.52035,0.89241,0.72992,0.65961,0.6851,0.50888,0.4287,0.34763,0.74439,0.00951276,0.00951276,0.00951276
61,18045.8,0.58291,0.51352,0.88725,0.73718,0.66076,0.68882,0.51183,0.42524,0.34374,0.74127,0.0095045,0.0095045,0.0095045
62,18339.4,0.58004,0.50865,0.8843,0.73618,0.66776,0.69227,0.51505,0.42179,0.34012,0.73837,0.00949624,0.00949624,0.00949624
63,18633,0.57877,0.50694,0.88246,0.73981,0.66987,0.69525,0.51821,0.41848,0.33652,0.73552,0.00948798,0.00948798,0.00948798
64,18926.9,0.57432,0.50139,0.87963,0.74474,0.67405,0.69854,0.52131,0.41522,0.33287,0.73266,0.00947972,0.00947972,0.00947972
65,19220.6,0.57103,0.49989,0.87753,0.74834,0.67442,0.70188,0.52444,0.41214,0.32958,0.72998,0.00947147,0.00947147,0.00947147
66,19514.1,0.56801,0.49441,0.87372,0.74996,0.67722,0.70439,0.52718,0.40921,0.32646,0.72739,0.00946321,0.00946321,0.00946321
67,19808.1,0.56542,0.49181,0.8723,0.75089,0.68016,0.70621,0.52976,0.40629,0.32344,0.72487,0.00945495,0.00945495,0.00945495
68,20102.3,0.56621,0.49117,0.87124,0.75574,0.6822,0.70902,0.53235,0.40352,0.32039,0.72242,0.00944669,0.00944669,0.00944669
69,20396.3,0.55999,0.4853,0.86682,0.75648,0.68363,0.71111,0.53502,0.40085,0.31754,0.72008,0.00943843,0.00943843,0.00943843
70,20690.4,0.55828,0.48242,0.86474,0.75937,0.68777,0.71505,0.53781,0.39823,0.31482,0.71775,0.00943017,0.00943017,0.00943017
71,20984.2,0.55378,0.47772,0.85972,0.75846,0.69382,0.71691,0.53982,0.39576,0.31213,0.7156,0.00942192,0.00942192,0.00942192
